class,feature,mean_abs_shap
normal,dst_host_diff_srv_rate,0.00278245132213493
normal,srv_count,0.002591925988101927
normal,dst_host_srv_serror_rate,0.0025879838338576364
normal,diff_srv_rate,0.002468575648552784
normal,srv_diff_host_rate,0.0024340562456867804
normal,dst_host_srv_rerror_rate,0.0022072066343794224
normal,total_bytes,0.0021398038847450073
normal,byte_ratio,0.002084533799869261
normal,byte_rate,0.0012596452000597901
normal,duration,0.0012587658804852381
normal,dst_host_srv_diff_host_rate,0.001090611784821081
normal,dst_bytes,0.0010691286071749196
normal,serror_rate,0.0009642483096159301
normal,num_root,0.0008512225652658181
normal,wrong_fragment,0.0007700503895097969
normal,hot,0.000747380072525195
normal,src_bytes,0.0006822911280360228
normal,num_shells,0.000574582931875744
normal,is_guest_login,0.0005430339464990795
normal,service,0.0004931802359087001
normal,num_compromised,0.00011069433495117687
normal,num_failed_logins,0.0
normal,num_access_files,0.0
normal,urgent,0.0
normal,is_host_login,0.0
normal,land,0.0
normal,root_shell,0.0
normal,su_attempted,0.0
normal,num_file_creations,0.0
normal,num_outbound_cmds,0.0
