class,feature,mean_abs_shap
Probe,byte_ratio,0.0019616667250711892
Probe,srv_count,0.0017656590000535678
Probe,total_bytes,0.0017275773624882966
Probe,byte_rate,0.0017106161743725265
Probe,src_bytes,0.0015434833604148017
Probe,num_compromised,0.0012229675568522617
Probe,hot,0.0008396243696779136
Probe,num_shells,0.0
Probe,wrong_fragment,0.0
Probe,is_host_login,0.0
Probe,land,0.0
Probe,urgent,0.0
Probe,num_file_creations,0.0
Probe,num_failed_logins,0.0
Probe,num_outbound_cmds,0.0
Probe,num_access_files,0.0
Probe,su_attempted,0.0
Probe,num_root,0.0
Probe,is_guest_login,0.0
R2L,dst_host_same_src_port_rate,0.01833569943789106
R2L,dst_host_srv_count,0.015849171239677624
R2L,logged_in,0.008143973914388584
R2L,dst_host_srv_diff_host_rate,0.006741006787654494
R2L,dst_host_same_srv_rate,0.0053418465578897656
R2L,protocol_type,0.0037923475701916692
R2L,same_srv_rate,0.0035577402754062705
R2L,service,0.0028490274886755398
R2L,dst_host_srv_serror_rate,0.0024068682546252765
R2L,srv_serror_rate,0.002163793476504062
R2L,dst_host_serror_rate,0.001775545038008519
R2L,root_shell,0.0017726544559849497
R2L,duration,0.0015191076410887175
R2L,dst_host_diff_srv_rate,0.0014177093943110624
R2L,serror_rate,0.0012574760708603124
R2L,count,0.0011692668307967833
R2L,diff_srv_rate,0.001120124627434141
R2L,src_bytes,0.0010705072663703605
R2L,rerror_rate,0.0009876156425612569
R2L,byte_ratio,0.0009798767950551855
R2L,dst_host_count,0.0009574776326546321
R2L,flag,0.0008907518304103446
R2L,dst_bytes,0.0008704114447836956
R2L,dst_host_srv_rerror_rate,0.0008606018139415164
R2L,hot,0.0007509460499827221
R2L,total_bytes,0.000666801756226954
R2L,byte_rate,0.0006180887157262868
R2L,num_compromised,0.000587011230629718
R2L,srv_rerror_rate,0.0005605137531894906
R2L,srv_diff_host_rate,0.0005062291269907595
R2L,dst_host_rerror_rate,0.0003702032776495443
R2L,srv_count,0.0002402629393870534
R2L,su_attempted,0.0
R2L,num_failed_logins,0.0
R2L,num_root,0.0
R2L,urgent,0.0
R2L,wrong_fragment,0.0
R2L,land,0.0
R2L,num_file_creations,0.0
R2L,num_shells,0.0
R2L,num_access_files,0.0
R2L,num_outbound_cmds,0.0
R2L,is_host_login,0.0
R2L,is_guest_login,0.0
U2R,dst_host_srv_count,0.006753963817040407
U2R,dst_host_srv_diff_host_rate,0.004574101155001193
U2R,dst_host_serror_rate,0.003158199449199637
U2R,dst_host_same_srv_rate,0.0028782735361054398
U2R,rerror_rate,0.002228798910300465
U2R,dst_host_rerror_rate,0.002153729795995274
U2R,logged_in,0.002033348097519533
U2R,same_srv_rate,0.00158737338802623
U2R,count,0.0014814642687118094
U2R,dst_host_count,0.001480141850874303
U2R,serror_rate,0.001471629342090618
U2R,dst_host_same_src_port_rate,0.0011535494139083805
U2R,service,0.001058283154962116
U2R,srv_diff_host_rate,0.0009724660672805854
U2R,byte_ratio,0.0009241924280981199
U2R,dst_host_diff_srv_rate,0.0009169791570529797
U2R,srv_serror_rate,0.000896950403737473
U2R,duration,0.0008337110328542241
U2R,diff_srv_rate,0.0007072316279209467
U2R,srv_count,0.0006516573672711311
U2R,dst_host_srv_serror_rate,0.0005575527354817106
U2R,total_bytes,0.00054584269373065
U2R,byte_rate,0.00047783393249106336
U2R,srv_rerror_rate,0.0004756813217875383
U2R,protocol_type,0.00044875362452806395
U2R,num_compromised,0.00039453422388419524
U2R,flag,0.0003898170429916689
U2R,root_shell,0.0003348981908753131
U2R,src_bytes,0.000328510181253097
U2R,dst_bytes,0.0002776163121748831
U2R,hot,0.00017345117712933768
U2R,dst_host_srv_rerror_rate,0.00013640320429815495
U2R,num_shells,0.0
U2R,land,0.0
U2R,is_host_login,0.0
U2R,num_outbound_cmds,0.0
U2R,urgent,0.0
U2R,wrong_fragment,0.0
U2R,num_file_creations,0.0
U2R,num_failed_logins,0.0
U2R,num_access_files,0.0
U2R,su_attempted,0.0
U2R,num_root,0.0
U2R,is_guest_login,0.0
normal,dst_host_srv_count,0.08057002302152225
normal,dst_host_rerror_rate,0.058812913751341754
normal,logged_in,0.04832730545295547
normal,dst_host_serror_rate,0.03381130185311875
normal,dst_host_count,0.029729765249218484
normal,serror_rate,0.02901118423305913
normal,dst_host_same_srv_rate,0.02784829833950642
normal,rerror_rate,0.02712191449561824
normal,dst_host_srv_serror_rate,0.024714985990909086
normal,dst_host_same_src_port_rate,0.022905859943768956
normal,count,0.020955910738567635
normal,protocol_type,0.018752934092618193
normal,same_srv_rate,0.01849515584669377
normal,service,0.016091705084684018
normal,srv_serror_rate,0.015259434159738692
normal,srv_rerror_rate,0.011621636303000726
normal,srv_diff_host_rate,0.00911553349582475
normal,flag,0.008829253380875934
normal,num_compromised,0.006883130490595108
normal,byte_rate,0.005432869646653585
normal,srv_count,0.005347824129969615
normal,hot,0.004182918100530808
normal,diff_srv_rate,0.004173196798421719
normal,dst_host_srv_diff_host_rate,0.003909647346688397
normal,root_shell,0.003776514467859668
normal,duration,0.0030196341342612278
normal,src_bytes,0.0021158823616252796
normal,dst_host_srv_rerror_rate,0.0020021219102037374
normal,total_bytes,0.0015827315316681643
normal,dst_host_diff_srv_rate,0.001298866700015261
normal,byte_ratio,0.0007050938487379067
normal,su_attempted,0.0
normal,num_root,0.0
normal,num_failed_logins,0.0
normal,num_file_creations,0.0
normal,urgent,0.0
normal,wrong_fragment,0.0
normal,land,0.0
normal,dst_bytes,0.0
normal,num_shells,0.0
normal,num_access_files,0.0
normal,num_outbound_cmds,0.0
normal,is_host_login,0.0
normal,is_guest_login,0.0
